item,title,description,img_url,product_url,latitude,longitude,price,delivery,dates,extended_attributes,seller_names,new_row
m2159660082,Foto telelens+flitser+alu .koffer met lens en selftimer,"Foto telelens+flitser+alu .koffer met lens en selftimer hakura alu kamera koffer € 69,00  asahi pentax p1000 handleiding &eur",https://images.marktplaats.com/api/v1/listing-mp-p/images/66/66e5b8fa-e58c-4fb2-ac72-6a1405295061?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2159660082,51.795175282781,5.825684297107,0.0,Ophalen of Verzenden,18 sep 24,Ophalen of Verzenden,Ellen,False
m2133557286,Asahi Pentax MV – spiegelreflex camerabody  – vintage,"Camerabody van 35mm éénogige spiegelreflexcamera, merk asahi pentax mv, met automatische belichtingsregeling bij open diafragma, a",https://images.marktplaats.com/api/v1/listing-mp-p/images/37/37518a17-0896-43c6-89e2-4ed46f0d139c?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2133557286,51.913417118958,4.5850197965015,0.0,Ophalen of Verzenden,5 jul 24,Ophalen of Verzenden,Vitellus,False
m2131228196,Asahi Pentax Type Program A inclusief draagtas & accessoires,"Asahi pentax type program a inclusief draagriem, draagtas en volgende accessoires: werking onbekend. Lenzen: sigma mini-wide ii 1:",https://images.marktplaats.com/api/v1/listing-mp-p/images/dc/dc52183f-8a7a-4b62-aaf6-d2194b942de1?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2131228196,52.053768577259,4.2370097128578,200.0,Ophalen of Verzenden,29 jun 24,Ophalen of Verzenden,We ruimen op! Wees er snel bij,False
m2137616513,Asahi Pentax SP 1000 camera,Dit toestel werkt goed en ziet er netjes uit de lens is een smc takumar 1:2/55 asahi opt co japan doe een mooi bod ex verz of hale,https://images.marktplaats.com/api/v1/listing-mp-p/images/eb/eb3d9494-2828-439e-9c39-195f82878ae0?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2137616513,52.678292465632,4.8498024643326,0.0,Ophalen of Verzenden,17 jul 24,Ophalen of Verzenden,Henk,False
m2141026372,Vintage fotocamera set; pentax zenit-E,Set bestaande uit: zenit-e moshva 80 - lens pallas 49mm - lens pallas 1:2.8 - Tas zenit 3ehnt asahi pentax sp500 - lens super-taku,https://images.marktplaats.com/api/v1/listing-mp-p/images/d7/d7e8be64-739d-41b8-bc0b-756db81ec718?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2141026372,51.523662483061,5.4738465853443,150.0,Ophalen of Verzenden,31 jul 24,Ophalen of Verzenden,Sander Scheepers,False
m2163003487,Analoge photography gear bundle,Big lot of analog camera's asahi pentax sv - reserved pentax mx - sold vivitar xv-1 - reserved praktica l - reserved last 2 pi,https://images.marktplaats.com/api/v1/listing-mp-p/images/9d/9dafbcb6-dab7-4739-9697-f8d609d259d2?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2163003487,51.913059430737,4.3923145264099,0.0,Ophalen of Verzenden,23 sep 24,Ophalen of Verzenden,Denis,False
m2146271141,Pentax SV inclusief pentax lichtmeter en lens,Pentax sv analoge spiegelreflexcamera body inclusief: asahi pentax lichtmeter pentacon auto 1:2.8 28Mm lens uv filter camera werkt,https://images.marktplaats.com/api/v1/listing-mp-p/images/7a/7a836c18-a2af-4d59-b878-73afd84a1d9f?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2146271141,52.032047905193,6.0833059907176,70.0,Ophalen of Verzenden,12 aug 24,Ophalen of Verzenden,Dejavu,False
m2154674893,Pentax asahi fotocamera,"Pentax asahi fotocamera, spotmatic",https://images.marktplaats.com/api/v1/listing-mp-p/images/b8/b80eb9a2-2d0f-4725-a2aa-c9f0f5a49418?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2154674893,52.367168184091,4.5417942929687,0.0,Ophalen,5 sep 24,Ophalen,Jamlin,False
m2140176243,COMPACTCAMERA PENTAX-ANALOOG -  VOOR ROLFILM 35 MM,Nostalgische compactcamera - analoog  voor gebruik van rolfilmpjes 35 mm fabrikaat:  asahi pentax espio 90 mc -   helemaal weer po,https://images.marktplaats.com/api/v1/listing-mp-p/images/f4/f403c7a8-7b2b-4d52-bf67-a60ca0cbec9d?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2140176243,52.663204938571,6.7406160540192,98.0,Ophalen of Verzenden,14 okt 24,Ophalen of Verzenden,emwee,False
m2177177379,Asahi Pentax ES analoog fototoestel is misschien goede staat,"Asahi pentax es analoog fototoestel is misschien goede staat, want veel verstand heb ik er niet van. Het lijkt me een oud model, h",https://images.marktplaats.com/api/v1/listing-mp-p/images/d7/d70ba425-860f-4cf3-a410-0a320f3c4633?rule=ecg_mp_eps$_82.jpg,https://link.marktplaats.nl/m2177177379,52.09395017242,5.2447214791159,0.0,Ophalen of Verzenden,13 okt 24,Ophalen of Verzenden,Rimbert,False
